Barcode,Tumor core true
cellid_000000254-1,
cellid_000000255-1,
cellid_000000256-1,
cellid_000000257-1,
cellid_000000258-1,
cellid_000000259-1,
cellid_000000260-1,
cellid_000000261-1,
cellid_000000262-1,
cellid_000000263-1,
cellid_000000264-1,
cellid_000000265-1,
cellid_000000266-1,
cellid_000000267-1,
cellid_000000268-1,
cellid_000000269-1,
cellid_000000270-1,
cellid_000000271-1,
cellid_000000272-1,
cellid_000000273-1,
cellid_000000274-1,
cellid_000000275-1,
cellid_000000276-1,
cellid_000000277-1,
cellid_000000278-1,
cellid_000000279-1,
cellid_000000280-1,
cellid_000000281-1,
cellid_000000282-1,
cellid_000000283-1,
cellid_000000284-1,
cellid_000000285-1,
cellid_000000286-1,
cellid_000000287-1,
cellid_000000288-1,
cellid_000000289-1,
cellid_000000290-1,
cellid_000000291-1,
cellid_000000292-1,
cellid_000000293-1,
cellid_000000294-1,
cellid_000000295-1,
cellid_000000296-1,
cellid_000000297-1,
cellid_000000298-1,
cellid_000000299-1,
cellid_000000300-1,
cellid_000000301-1,
cellid_000000302-1,
cellid_000000303-1,
cellid_000000304-1,
cellid_000000305-1,
cellid_000000306-1,
cellid_000000307-1,
cellid_000000308-1,
cellid_000000309-1,
cellid_000000310-1,
cellid_000000311-1,
cellid_000000312-1,
cellid_000000313-1,
cellid_000000314-1,
cellid_000000315-1,
cellid_000000316-1,
cellid_000000317-1,
cellid_000000318-1,
cellid_000000319-1,
cellid_000000320-1,
cellid_000000321-1,
cellid_000000322-1,
cellid_000000323-1,
cellid_000000324-1,
cellid_000000325-1,
cellid_000000326-1,
cellid_000000327-1,
cellid_000000328-1,
cellid_000000329-1,
cellid_000000330-1,
cellid_000000331-1,
cellid_000000332-1,
cellid_000000333-1,
cellid_000000334-1,
cellid_000000335-1,
cellid_000000336-1,
cellid_000000337-1,
cellid_000000338-1,
cellid_000000339-1,
cellid_000000340-1,
cellid_000000341-1,
cellid_000000342-1,
cellid_000000343-1,
cellid_000000344-1,
cellid_000000345-1,
cellid_000000346-1,
cellid_000000347-1,
cellid_000000348-1,
cellid_000000349-1,
cellid_000000350-1,
cellid_000000351-1,
cellid_000000352-1,
cellid_000000353-1,
cellid_000000354-1,
cellid_000000355-1,
cellid_000000356-1,
cellid_000000357-1,
cellid_000000358-1,
cellid_000000359-1,
cellid_000000360-1,
cellid_000000361-1,
cellid_000000362-1,
cellid_000000363-1,
cellid_000000364-1,
cellid_000000365-1,
cellid_000000366-1,
cellid_000000367-1,
cellid_000000368-1,
cellid_000000369-1,
cellid_000000370-1,
cellid_000000371-1,
cellid_000000372-1,
cellid_000000373-1,
cellid_000000374-1,
cellid_000000375-1,
cellid_000000376-1,
cellid_000000377-1,
cellid_000000378-1,
cellid_000000379-1,
cellid_000000380-1,
cellid_000000381-1,
cellid_000000382-1,
cellid_000000383-1,
cellid_000000384-1,
cellid_000000385-1,
cellid_000000386-1,
cellid_000000387-1,
cellid_000000388-1,
cellid_000000389-1,
cellid_000000390-1,
