B.cell,Dendritic.cell,Endothelial.cell,Fibroblast,Myeloid.cell,Ovarian.cancer.cell,Plasma.cell,T.cell,Mast.cell,M2.Marco
,,,,,,,,,CRIP1
,,,,,,,,,RBPJ
,,,,,,,,,ITGAM
,,,,,,,,,ZFP36L1
,,,,,,,,,PIM1
,,,,,,,,,S100A9
,,,,,,,,,RGCC
,,,,,,,,,KLF2
,,,,,,,,,BLVRB
,,,,,,,,,TNFAIP3
,,,,,,,,,CXCL16
,,,,,,,,,SMIM25
,,,,,,,,,SMPDL3A
,,,,,,,,,PTTG1IP
,,,,,,,,,SLC16A10
,,,,,,,,,NFKBIZ
,,,,,,,,,ZNF292
,,,,,,,,,CR1
,,,,,,,,,UPP1
,,,,,,,,,CYP1B1
,,,,,,,,,FOSL2
,,,,,,,,,KMO
,,,,,,,,,RALA
,,,,,,,,,APOC1
,,,,,,,,,MAP3K8
,,,,,,,,,PKM
,,,,,,,,,CCR1
,,,,,,,,,SLC16A6
,,,,,,,,,CD300A
,,,,,,,,,DOCK5
,,,,,,,,,ATP2B1
,,,,,,,,,MAN1A1
,,,,,,,,,ANPEP
,,,,,,,,,SDCBP
,,,,,,,,,NR1H3
,,,,,,,,,RRAS
,,,,,,,,,GBE1
,,,,,,,,,LINC01094
,,,,,,,,,VKORC1
,,,,,,,,,TPP1
,,,,,,,,,THBS1
,,,,,,,,,NPL
,,,,,,,,,PDE4DIP
,,,,,,,,,JUN
,,,,,,,,,RIOK3
,,,,,,,,,ACP2
,,,,,,,,,ATP2B1-AS1
,,,,,,,,,AHNAK
,,,,,,,,,SH3BP5
,,,,,,,,,ICAM1
,,,,,,,,,AK4
,,,,,,,,,ZDHHC20
,,,,,,,,,IFNAR1
,,,,,,,,,PFKFB3
